	GENE_0000	GENE_0001	GENE_0002	GENE_0003	GENE_0004	GENE_0005	GENE_0006	GENE_0007	GENE_0008	GENE_0009	GENE_0010	GENE_0011	GENE_0012	GENE_0013	GENE_0014	GENE_0015	GENE_0016	GENE_0017	GENE_0018	GENE_0019	GENE_0020	GENE_0021	GENE_0022	GENE_0023	GENE_0024	GENE_0025	GENE_0026	GENE_0027	GENE_0028	GENE_0029	GENE_0030	GENE_0031	GENE_0032	GENE_0033	GENE_0034	GENE_0035	GENE_0036	GENE_0037	GENE_0038	GENE_0039	GENE_0040	GENE_0041	GENE_0042	GENE_0043	GENE_0044	GENE_0045	GENE_0046	GENE_0047	GENE_0048	GENE_0049	disease_status	disease_type
Sample_000	12.142529843551035	6.434896125657351	14.121359906705182	33.88694565868619	5.846520075035395	5.846616062669532	35.845312863785985	15.917748255147648	4.620604839036434	12.712173066814993	4.648675345999612	4.637939741623569	9.411781650729825	1.0905910045854894	1.3166388553290882	4.211051886489826	2.6836260389870468	10.11730508649365	2.9801568235315004	1.799837348121891	31.99721183737195	5.8957025226221536	7.905258766714606	1.777578089230018	4.287128988591921	8.255854538575212	2.337323386100491	10.758520210230284	4.052610778439395	5.5196047264987635	4.048285215066863	47.10024414285001	7.289994381172695	2.5658481097424084	16.81960065687278	2.179632642592645	9.105363131259422	1.0411541694483	1.9577854286507597	8.99673052080079	15.46325524214881	8.770276038391662	6.5820860081523405	5.467909152936666	1.684515540878056	3.597200095495114	4.6616116176236275	21.26626950551351	10.41886692040505	1.2673902242392865	1	Disease_B
Sample_001	10.217316423198293	5.027474243776315	3.754961378063301	13.621865905988168	20.71793028114763	18.751619445552933	3.192430301630912	5.423750900442165	10.290935213723959	19.600304995736394	4.576002324961919	6.137030684642352	2.4440708395958453	2.233999274558481	16.651924950628704	28.68114759119312	6.875675397884106	20.15662256947157	10.608292695774537	3.8762967244531814	10.605742561496045	34.39931207865813	7.129021306863077	35.32686263897911	0.5380815749088899	16.808799085307513	8.061076176299729	5.479383800833548	8.099163433545773	1.0125086725051986	5.931802395835836	10.560414944699348	32.39143528317222	4.400551094038413	3.2920365884525546	4.473821461199297	18.456232488570258	10.26511352320064	4.3502781963211925	12.345201352495712	8.142339522512847	19.46552574644274	3.6617709852065254	5.324601395040515	4.992275644887081	1.709985775173331	9.935560360341317	9.593207271897931	7.426936484235619	5.843984646291692	0	Disease_B
Sample_002	1.7943256303466228	4.851823808412683	5.2450537175980445	3.3125647251136043	6.288447930359722	11.067920254128246	48.724690880659296	8.79846973692642	9.559643071247635	6.858948048187241	1.0846190124195327	7.195717983222496	7.847776238486661	86.76836636881237	6.0960378979411125	9.989627876165681	7.136969384518348	2.296352426132729	23.16917692517846	15.67289884701706	16.297829623962063	2.9760965079904045	30.047946151335346	1.8187490638351507	13.28794314727113	66.05287950205583	2.7441288750018504	4.19419853992519	8.163323396862083	4.466139307725082	1.5672720635276813	7.913443125997207	2.554090741818659	11.864994550969802	2.9463754849269255	34.811033983546054	3.3761861271504903	5.354506184105875	16.668441771350412	2.1579003388049176	9.276273787136212	27.306991117105223	1.480702689703227	8.887393914126827	9.581966039415942	16.14843065330875	2.14480639404934	1.9729766395721546	12.45275104059194	9.944152333549173	0	Normal
Sample_003	9.492413022728847	10.448393238388489	3.7433288351193594	9.320848796728576	9.905324821458523	3.617013126130096	47.74023346034547	11.867848309928178	2.2449797537903295	14.247103296805252	2.7879828172587797	16.233623300950494	23.537516123761055	3.252154441025953	19.363234307718265	11.164966970008328	16.811449295841232	49.24426837405959	5.781203528872032	3.4773267929147513	3.035832146753834	3.2680377065218087	6.840756265032991	10.393202376652617	9.74438088444801	16.89779684172741	7.4857550800206045	31.61191407283954	5.670873525238041	112.18722939364527	13.813789712435478	3.135668671179892	2.5322481422258973	11.970824709618578	5.9093581099044385	15.08952046722263	11.860785525719823	6.87004796038534	3.168335217412814	1.6244231616467448	4.727918526998352	17.398757477357986	9.153110291820862	2.1260402697302925	8.786187849302792	10.862509658258503	3.0530544966772064	8.61689754178975	7.831928049452235	2.356151817002583	0	Disease_B
Sample_004	10.56754339964365	12.945969787241935	21.824893962395358	21.19577887185686	1.8632655717358055	2.8926555628306825	12.367044922575154	12.351604218984063	12.367198511064165	348.1841444892505	13.077464879512522	23.001642816451103	19.182564423067333	14.173744174616669	5.390999239276706	15.783565184773519	3.4115774698666668	5.830958489375215	4.5477674952766005	8.019484470983276	74.78808393989064	1.1419471222554334	14.676685148637143	1.472974946441941	4.609263736701845	21.954027260347925	7.879622677012404	2.514955782963965	3.613570315777503	14.579227606383686	3.559547280159661	9.17478159760878	7.7335796431464825	3.8512572460006007	63.05101050505033	13.928248197111783	0.9751708557618651	8.903587761432455	3.812227009223039	17.329900024709108	3.3450420401810543	6.5880905607046865	12.243403216238798	17.562311152790336	2.2248813602135185	5.288310211690585	4.595394879245596	3.8446046177121	43.183317007492384	11.07822767019524	1	Disease_A
Sample_005	2.094083621825214	18.501687553918117	61.69211932177525	20.748319605939844	1.617092904899122	4.552906986716462	26.23019293043418	3.6412627629302814	11.516944988713957	16.03275878889902	2.924342088636034	6.962054683584566	0.28901770202350874	2.652791173371473	5.739842945849238	2.121698226043588	37.803863406789574	1.768017075115137	4.7586095456080635	8.421100978822615	31.226693473046655	1.7579315264557636	23.645285540142	7.465056958379552	2.7690141351254463	11.729458222555225	9.01653122787484	4.054320581960216	7.923254831601832	5.026311440797596	8.27730427927013	14.32678231162559	36.09003599945569	2.1429523931017096	62.36681822061564	1.0490785426856921	6.34847676730495	13.307359212981238	9.786382394130184	3.96418577210599	6.000709724460442	4.51316673359174	4.0985581579015555	17.280904349051323	10.559389730808606	3.69540591929805	18.16687490204438	10.047255582819748	16.65752587552082	13.868621495876166	1	Disease_B
Sample_006	3.2252323335957884	4.219931770558141	15.600353981553276	13.604087042595435	7.236215914627552	8.308901278249392	26.513787899765948	4.089524119824672	12.769983541084388	6.036397222072584	5.943622504727531	22.170816499753446	16.86796648506678	16.668315402221193	27.261591509407207	7.545896017520407	14.61360539701723	5.418035215725491	10.218158192007289	6.487368286534836	8.141675262089088	13.39869113155981	3.260169920152789	59.8826776619728	2.701974004081164	2.194186553568929	23.526110124565474	16.308112672457913	13.792428981051533	13.85083485649933	7.299115870235223	3.0124256816301345	7.970956978619932	3.754061379616473	19.591968922565044	6.378561607050314	3.2365333497282633	5.358125310214675	11.166647729274688	4.205004851610333	3.2471562211908287	9.428030418718237	9.440099979109835	4.450679693508658	4.613384231876126	9.318949775889164	1.736576521080588	1.8085695439735727	3.602239656213981	5.968841460103179	0	Disease_B
Sample_007	10.083572006533073	32.309335619956535	17.420708168360935	6.29692532136003	7.249871844555467	2.711414990556014	7.253519968991254	5.536382787577577	10.203375126770977	3.2309268820221226	12.420477405854271	34.21755830322374	6.627580805372413	11.04206115338327	14.733797312393671	4.946991074969977	9.24508890932745	7.482690357498777	8.147214572159609	3.4109478554456487	7.572400879196013	12.158132546252721	31.536437009511086	19.283905306957166	63.63619788081277	3.4303161780257483	17.67799483947297	8.87592012228863	66.00978134335885	3.292679643732079	3.190820704416577	4.057663659111567	0.8834719607282083	4.367736791711704	3.4586119513395936	8.588239664019742	10.399481777061986	48.239145522652954	19.114053277330427	4.149950242192504	3.0089323915497848	12.084446004285965	1.973417463756408	46.12978172648614	24.03329404123257	4.621985376214371	1.3322449757141908	28.613320872546403	6.589385881691691	25.478024899301477	1	Normal
Sample_008	1.500160858270714	4.057735165879896	7.4279038542817775	7.744482030914928	4.711161725766147	13.774925302627402	2.5405474025285337	6.408469757020261	8.333600800223952	12.359671006259557	15.053565570056508	2.399734024678941	1.5934250664509804	26.514104108004748	10.301752351511158	3.4956294633906904	34.85344468554292	8.295180091800436	24.029859048013627	7.905181902061107	58.0176877279468	42.74878792901657	5.760566678317156	19.522564510248994	14.088740743849213	29.03876198078995	2.8153217104683375	14.673621998323926	21.293981771431852	1.2728525874998482	2.2631134259477013	0.9615274379412491	5.644000742552202	15.143058706820918	33.19359886612842	7.957340057812278	37.660641066866695	1.8587394478929695	1.345300705119653	6.989802499345277	10.848919056986935	7.151379333709082	0.9347818428806008	6.759033865168872	2.0047723225948233	14.435241582069567	10.66106421276643	2.886717991381975	4.419970768752413	2.5619955796225415	0	Disease_A
Sample_009	6.940132751033959	19.20445571311116	2.7573606988071373	12.231890486061973	4.3481148424952805	3.3438644788370153	6.639055039585746	2.6241516886370597	4.247585460937205	2.230268780120872	52.70578031432918	7.65426915739917	3.670303998473147	9.152068421493492	6.603976385797729	5.92410961907289	13.655832230942917	15.76051418812074	4.3470560783258225	4.1544571059745286	5.61223088584225	0.7393963530989226	1.6238647200393805	28.98777726278856	38.28153685481456	5.760152559858654	13.151778058478689	10.087027118641792	160.5942196190052	22.63675497195462	6.501821760760233	2.8418622508158964	1.482238847796152	9.056327057970039	3.468246915814967	1.7820177512207211	3.8706680533843394	2.5054090043176784	39.93054760367248	17.843508220487994	7.330380017463245	32.45790889040293	7.983431309063985	3.1227555422861464	33.890138666325825	12.665858212401876	2.6188985946707426	6.108378308007564	3.0783130829909067	1.853730822250292	0	Normal
